Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Data Prezzo;Prezzo
TO;2011;5;3;03/05/2011;25 maggio 2011;269
PD;2011;5;3;03/05/2011;25 maggio 2011;272,5
MI;2011;5;3;03/05/2011;25 maggio 2011;273
BO;2011;5;3;03/05/2011;25 maggio 2011;273
VR;2011;5;3;03/05/2011;25 maggio 2011;273,5
TV;2011;5;3;03/05/2011;25 maggio 2011;275
NA;2011;5;3;03/05/2011;25 maggio 2011;
GR;2011;5;3;03/05/2011;25 maggio 2011;
FI;2011;5;4;04/05/2011;31 maggio 2011;223,5
PG;2011;5;4;04/05/2011;31 maggio 2011;246,1
AL;2011;5;4;04/05/2011;31 maggio 2011;257
RM;2011;5;4;04/05/2011;31 maggio 2011;269,5
UD;2011;5;4;04/05/2011;31 maggio 2011;271
TO;2011;5;4;04/05/2011;31 maggio 2011;272
BO;2011;5;4;04/05/2011;31 maggio 2011;275
VR;2011;5;4;04/05/2011;31 maggio 2011;276,5
TV;2011;5;4;04/05/2011;31 maggio 2011;278,5
PD;2011;5;4;04/05/2011;31 maggio 2011;280,5
MI;2011;5;4;04/05/2011;31 maggio 2011;282,5
NA;2011;5;4;04/05/2011;31 maggio 2011;
GR;2011;5;4;04/05/2011;31 maggio 2011;
FI;2011;6;1;01/06/2011;06 giugno 2011;225,5
PG;2011;6;1;01/06/2011;06 giugno 2011;249,6
AL;2011;6;1;01/06/2011;06 giugno 2011;261
RM;2011;6;1;01/06/2011;06 giugno 2011;269
UD;2011;6;1;01/06/2011;06 giugno 2011;274
VR;2011;6;1;01/06/2011;06 giugno 2011;276,5
BO;2011;6;1;01/06/2011;06 giugno 2011;278
TV;2011;6;1;01/06/2011;06 giugno 2011;281,5
MI;2011;6;1;01/06/2011;06 giugno 2011;282,5
TO;2011;6;1;01/06/2011;06 giugno 2011;
PD;2011;6;1;01/06/2011;06 giugno 2011;
NA;2011;6;1;01/06/2011;06 giugno 2011;
GR;2011;6;1;01/06/2011;06 giugno 2011;
MI;2011;6;2;02/06/2011;14 giugno 2011;182,5
FI;2011;6;2;02/06/2011;14 giugno 2011;230
PG;2011;6;2;02/06/2011;14 giugno 2011;249,6
AL;2011;6;2;02/06/2011;14 giugno 2011;263
RM;2011;6;2;02/06/2011;14 giugno 2011;269
TO;2011;6;2;02/06/2011;14 giugno 2011;272
UD;2011;6;2;02/06/2011;14 giugno 2011;274
VR;2011;6;2;02/06/2011;14 giugno 2011;
TV;2011;6;2;02/06/2011;14 giugno 2011;
PD;2011;6;2;02/06/2011;14 giugno 2011;
NA;2011;6;2;02/06/2011;14 giugno 2011;
GR;2011;6;2;02/06/2011;14 giugno 2011;
BO;2011;6;2;02/06/2011;14 giugno 2011;
RM;2011;6;3;03/06/2011;21 giugno 2011;269
VR;2011;6;3;03/06/2011;21 giugno 2011;
UD;2011;6;3;03/06/2011;21 giugno 2011;
TV;2011;6;3;03/06/2011;21 giugno 2011;
TO;2011;6;3;03/06/2011;21 giugno 2011;
PG;2011;6;3;03/06/2011;21 giugno 2011;
PD;2011;6;3;03/06/2011;21 giugno 2011;
NA;2011;6;3;03/06/2011;21 giugno 2011;
MI;2011;6;3;03/06/2011;21 giugno 2011;
GR;2011;6;3;03/06/2011;21 giugno 2011;
FI;2011;6;3;03/06/2011;21 giugno 2011;
BO;2011;6;3;03/06/2011;21 giugno 2011;
AL;2011;6;3;03/06/2011;21 giugno 2011;
UD;2011;6;4;04/06/2011;28 giugno 2011;222,5
BO;2011;6;4;04/06/2011;28 giugno 2011;225,5
TV;2011;6;4;04/06/2011;28 giugno 2011;229
VR;2011;6;4;04/06/2011;28 giugno 2011;
TO;2011;6;4;04/06/2011;28 giugno 2011;
RM;2011;6;4;04/06/2011;28 giugno 2011;
PG;2011;6;4;04/06/2011;28 giugno 2011;
PD;2011;6;4;04/06/2011;28 giugno 2011;
NA;2011;6;4;04/06/2011;28 giugno 2011;
MI;2011;6;4;04/06/2011;28 giugno 2011;
GR;2011;6;4;04/06/2011;28 giugno 2011;
FI;2011;6;4;04/06/2011;28 giugno 2011;
AL;2011;6;4;04/06/2011;28 giugno 2011;
PD;2011;6;5;05/06/2011;05 luglio 2011;215
TO;2011;6;5;05/06/2011;05 luglio 2011;217,5
TV;2011;6;5;05/06/2011;05 luglio 2011;219
VR;2011;6;5;05/06/2011;05 luglio 2011;220
UD;2011;6;5;05/06/2011;05 luglio 2011;222,5
BO;2011;6;5;05/06/2011;05 luglio 2011;225,5
MI;2011;6;5;05/06/2011;05 luglio 2011;227,5
FI;2011;6;5;05/06/2011;05 luglio 2011;
RM;2011;6;5;05/06/2011;05 luglio 2011;
PG;2011;6;5;05/06/2011;05 luglio 2011;
NA;2011;6;5;05/06/2011;05 luglio 2011;
GR;2011;6;5;05/06/2011;05 luglio 2011;
AL;2011;6;5;05/06/2011;05 luglio 2011;
PG;2011;7;1;01/07/2011;12 luglio 2011;204,6
AL;2011;7;1;01/07/2011;12 luglio 2011;207,5
TO;2011;7;1;01/07/2011;12 luglio 2011;217,5
PD;2011;7;1;01/07/2011;12 luglio 2011;220,5
TV;2011;7;1;01/07/2011;12 luglio 2011;221
UD;2011;7;1;01/07/2011;12 luglio 2011;222,5
RM;2011;7;1;01/07/2011;12 luglio 2011;225
BO;2011;7;1;01/07/2011;12 luglio 2011;225,5
NA;2011;7;1;01/07/2011;12 luglio 2011;226,5
MI;2011;7;1;01/07/2011;12 luglio 2011;227,5
GR;2011;7;1;01/07/2011;12 luglio 2011;267,66
FI;2011;7;1;01/07/2011;12 luglio 2011;
VR;2011;7;1;01/07/2011;12 luglio 2011;
FI;2011;7;2;02/07/2011;19 luglio 2011;182,5
PG;2011;7;2;02/07/2011;19 luglio 2011;203,6
