Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Prezzo
GR;2011;5;1;01/05/2011;
GR;2011;5;2;02/05/2011;
GR;2011;5;3;03/05/2011;
GR;2011;5;4;04/05/2011;
GR;2011;6;1;01/06/2011;
GR;2011;6;2;02/06/2011;
GR;2011;6;3;03/06/2011;
GR;2011;6;4;04/06/2011;
GR;2011;6;5;05/06/2011;
GR;2011;7;1;01/07/2011;267,66
GR;2011;7;2;02/07/2011;232,66
GR;2011;7;3;03/07/2011;232,66
GR;2011;7;4;04/07/2011;232,66
GR;2011;8;4;04/08/2011;227,66
GR;2011;9;1;01/09/2011;227,66
GR;2011;9;2;02/09/2011;227,66
GR;2011;9;3;03/09/2011;227,66
GR;2011;9;4;04/09/2011;222,66
GR;2011;9;5;05/09/2011;222,66
GR;2011;10;1;01/10/2011;222,66
GR;2011;10;2;02/10/2011;212,66
GR;2011;10;3;03/10/2011;212,66
GR;2011;10;4;04/10/2011;212,66
GR;2011;11;1;01/11/2011;212,66
GR;2011;11;2;02/11/2011;212,66
GR;2011;11;3;03/11/2011;212,66
GR;2011;11;4;04/11/2011;212,66
GR;2011;12;1;01/12/2011;212,66
GR;2011;12;2;02/12/2011;212,66
GR;2011;12;3;03/12/2011;207,66
GR;2011;12;4;04/12/2011;
GR;2011;12;5;05/12/2011;
GR;2012;1;1;01/01/2012;
GR;2012;1;2;02/01/2012;217,66
GR;2012;1;3;03/01/2012;217,66
GR;2012;1;4;04/01/2012;217,66
GR;2012;2;1;01/02/2012;222,66
GR;2012;2;2;02/02/2012;227,66
GR;2012;2;3;03/02/2012;
GR;2012;2;4;04/02/2012;222,66
GR;2012;3;1;01/03/2012;217,66
GR;2012;3;2;02/03/2012;
GR;2012;3;3;03/03/2012;222,66
GR;2012;3;4;04/03/2012;227,66
GR;2012;3;5;05/03/2012;230,66
GR;2012;4;1;01/04/2012;230,66
GR;2012;4;2;02/04/2012;230,66
GR;2012;4;3;03/04/2012;230,66
GR;2012;5;1;01/05/2012;230,66
GR;2012;5;2;02/05/2012;230,66
GR;2012;5;3;03/05/2012;227,66
GR;2012;5;4;04/05/2012;227,66
GR;2012;5;5;05/05/2012;232,66
GR;2012;6;1;01/06/2012;
GR;2012;6;2;02/06/2012;
GR;2012;6;3;03/06/2012;
GR;2012;6;4;04/06/2012;217,66
GR;2012;7;1;01/07/2012;222,66
GR;2012;7;2;02/07/2012;237,66
GR;2012;7;3;03/07/2012;247,66
GR;2012;7;4;04/07/2012;257,66
GR;2012;8;1;01/08/2012;262,66
GR;2012;8;4;04/08/2012;272,66
GR;2012;8;5;05/08/2012;282,66
GR;2012;9;1;01/09/2012;282,66
GR;2012;9;2;02/09/2012;282,66
GR;2012;9;3;03/09/2012;272,66
GR;2012;9;4;04/09/2012;267,66
GR;2012;10;1;01/10/2012;265,66
GR;2012;10;2;02/10/2012;265,66
GR;2012;10;3;03/10/2012;265,66
GR;2012;10;4;04/10/2012;265,66
GR;2012;11;1;01/11/2012;265,66
GR;2012;11;2;02/11/2012;
